company_name,address,midc_area,industry_label,business_type,latitude,longitude,phone,website,rating,total_reviews
Akash colors and carbon,"Rto Office, near Road Shkati Tyare, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Plastic Manufacturing,Manufacturer,18.1854731,74.6030817,,,5,1
Akriti Pharma,"Neighborhood of Gaurang Green Energy, Jejuri, Maharashtra 412303, India",Baramati,Pharmaceutical Manufacturing,Manufacturer,18.2629556,74.1772802,022 2173 0204,https://www.akritipharma.com/,4.3,22
AKRUTI BUILD CON (AKRUTI SOLAR),"AKRUTI BUILD CON, Wheel Colony, near TC College Road, Satav Chowk, Baramati, Maharashtra 413102, India",Baramati,Renewable Energy,Manufacturer,18.1585546,74.5762333,097009 64344,http://www.akrutisolar.com/,5,2
AKRUTI SOLAR BRANCH 1,"Akruti Solar Satav Chouk, Sapana Nagar, Surynagari, Baramati, Maharashtra 413102, India",Baramati,Renewable Energy,Manufacturer,18.1624807,74.5803778,091302 94344,,,
Akshay-Deep Textile Pvt. Ltd. (Men's Cartel),"Shop no.5&6, Building A/1, Nilkanth Nagar Ajmera Society, 384, Ajmera society Nilkanth Nagar, Bhawani Peth, Pune, Maharashtra 411002, India",Baramati,General Manufacturing,Manufacturer,18.5084361,73.874026,098600 43999,,,
ALCO TECH ENGINEERING UNIT -II,"Plot No. G89, near Kataphal Station, Maharashtra Industrial Development Corporation Area, Baramati, Gojubavi, Maharashtra 413133, India",Baramati,Mechanical Engineering,Manufacturer,18.2340354,74.5992623,,,4.5,2
AlcoTex Pvt Ltd,"5H8W+MC3, Bhigwan Rd, Kanchannagar, Shiva Nagar, Baramati, Maharashtra 413102, India",Baramati,Chemical Processing,Manufacturer,18.1666276,74.5960559,,,,
Alfa agro & livestock Baramati,"5HWF+66P, Hingane Wasti, Sadguru Nagar, Baramati, Maharashtra 413102, India",Baramati,Food Processing,Manufacturer,18.1955809,74.5730933,070204 64632,,4.5,6
Alfa agro and livestock Baramati,"293, Tandulwadi, Baramati, Maharashtra 413102, India",Baramati,Food Processing,Manufacturer,18.1955818,74.5730926,096653 99613,,5,5
Alfa Engineering And Automotives,"Servey No- 241/1, A/6B, Patas Rd, Hingane Wasti, Baramati, Maharashtra 413102, India",Baramati,Automobile Manufacturing,Manufacturer,18.1584885,74.5707512,091580 46786,https://www.alfaautomotives.in/,4.2,147
Alfa Engineering Works,"Plot NO G 40,41, Maharashtra Industrial Development Corporation Area, Baramati, Gojubavi, Maharashtra 413133, India",Baramati,Mechanical Engineering,Manufacturer,18.231106,74.5993458,,,5,2
Alfa Plastics Industries,"d 36, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Plastic Manufacturing,Manufacturer,18.1884158,74.6010744,,,,
All Job Facility Office Baramati MIDC,"Mayureshwar devlopers, Jalochi/Indapur Road All Job Facility Office, Pencil Chowk, Baramati Midc, Maharashtra 413133, India",Baramati,IT Services,Manufacturer,18.1759896,74.6097175,097658 90620,,4,17
Alratech Textiles,"Plot no. W-5, opp. Weener Empire plastic Pvt.Ltd, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.182621,74.6049252,077569 87077,https://instagram.com/alratechtextiles?igshid=Yzg5MTU1MDY=,5,6
Amaron Pitstop - Chirag Auto,"Ground Floor, Baramati Bhigwan Road, opposite Sahayog Society, Sahyog Society, Baramati, Maharashtra 413102, India",Baramati,Automobile Manufacturing,Manufacturer,18.164907,74.592339,075880 72436,https://stores.amaron.in/amaron-pitstop-chirag-auto-chirag-auto-battery-store-baramati-baramati-247872/Home,4.7,6
Ameya Solar Industries,"E-23, MIDC, Baramati, Maharashtra 413133, India",Baramati,Renewable Energy,Manufacturer,18.1981794,74.6173431,095274 53531,,5,2
Amit electrical,"Shivaji udyan, Kasba, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1450457,74.5682973,091589 47000,,5,1
AMPOWER ELECTRICAL & ENGINEERS,"C-63, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.1954103,74.6084426,097655 36110,https://ampowerelectrical.com/,,
ANKITA TECHNOLOGIES,"SHOP NO.10, SAIRAJ COMPLEX, TAPKIRE ESTET, Bhigwan Rd, behind SUZUKI SHOWROOM, Baramati, Maharashtra 413102, India",Baramati,Electronics Manufacturing,Manufacturer,18.1672069,74.5921393,,http://ankita-technologies.com/,4,21
Arihant Electricals Stores,"244, subhas chowk, Nevse Rd, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1495172,74.5739072,098220 29241,,4.8,4
Arjun Pride Hotel,"Above Bank of Maharashtra, Near Vanaz LPG Gas, Off Vidya Pratishthan, MIDC Baramati, Baramati, Maharashtra 413133, India",Baramati,Food Processing,Manufacturer,18.1824067,74.6088845,074477 84999,,3.7,318
Arogya parking baramati,"5JH5+M4F, Baramati, Maharashtra 413133, India",Baramati,Logistics & Warehousing,Manufacturer,18.1791791,74.6077971,,,,
Arya Enterprises,"Shop No 1, near Chirag Garden, vijaynagar colony, Ashok Nagar Colony, Baramati, Maharashtra 413102, India",Baramati,Renewable Energy,Manufacturer,18.1546535,74.5807962,090115 41458,,5,1
"ASCENT SOFTCORPORATION PVT LTD ,BARAMATI [Design \ Manufacturing \ Services \Projects ]","Samarth Nagar, Baramati,Behind St Stand Near Anuchandra Hospital, Maharashtra 41, Baramati, Maharashtra 413102, India",Baramati,Electronics Manufacturing,Manufacturer,18.143858,74.577064,099755 55636,http://www.ascentsoftech.com/,4.9,378
Ashoka Techno Solutions,"D20/4, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Logistics & Warehousing,Manufacturer,18.1891603,74.6004851,097637 02924,,5,6
Asmita Cement Pipes and Products,"Plot No. G-15, MIDC, BARAMATI, Airport Cir, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Mechanical Engineering,Manufacturer,18.2317906,74.5987264,097635 82918,,5,4
ASPI Companies,"abasaheb satav chowk, Surynagari, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1633558,74.5786831,,https://www.aspicompanies.com/,,
ATAL INCUBATION CENTRE AIC-ADT BARAMATI FOUNDATION,"Malegaon road Shardanagar, Baramati, Maharashtra 413102, India",Baramati,IT Services,Manufacturer,18.1318101,74.5424262,086699 11299,http://www.aicadtbaramatifoundation.org/,4.8,49
Atharv engineering works,"G-116, Maharashtra Industrial Development Corporation Area, Baramati, Gojubavi, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.2315429,74.600933,,,,
Atharv Industries,"G-347, Maharashtra Industrial Development Corporation Area, Baramati, Katphal, Maharashtra 413133, India",Baramati,Plastic Manufacturing,Manufacturer,18.227806,74.6050728,,,5,1
Avinash Electrical,"5H4M+769, Baramati Bhigwan Road, Ashok Nagar Colony, Baramati, Maharashtra 413102, India",Baramati,Electronics Manufacturing,Manufacturer,18.1556537,74.5831038,,,5,1
Azurebird Cloud Solutions LLP,"Subhadra Mall Back side, Flat no 2, Vanve clinic building, Medical College Rd, Maharashtra Industrial Development Corporation Area, Tambenagar, Baramati, Maharashtra 413133, India",Baramati,Electronics Manufacturing,Manufacturer,18.1781759,74.603471,079728 36516,,5,1
BABJEE AGRO INDUSTRIES,"GULUMKAR WASTI, Phaltan - Baramati Rd, Baramati, Maharashtra 413102, India",Baramati,Mechanical Engineering,Manufacturer,18.1402358,74.566261,091303 05252,,5,1
BAFNA CATERING & BAFNA FOODS,"Pragatinagar, Baramati, Maharashtra 413102, India",Baramati,Food Processing,Manufacturer,18.1649125,74.5854029,097308 54570,https://bafna-catering-bafna.grexa.site/,4.5,10
Bajaj Auto Credit | Kamal Motors Chetak Baramati | Two Wheeler Loan,"Somani Heights, Baramati Bhigwan Road, near Urja Bhavan, MSEB colony, Baramati, Maharashtra 413102, India",Baramati,Automobile Manufacturing,Manufacturer,18.1685207,74.595567,079 4822 9393,https://www.bajajautocredit.com/,5,3
Balaji Enterprises,"Shop No 46 Nr Subadra Mall, Baramati Midc, Pune, Maharashtra 413133, India",Baramati,Electronics Manufacturing,Manufacturer,18.1777301,74.6058204,096894 54007,,5,1
Balaji Fabricators,"5HMP+CC7, Tandulwadi, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.18353,74.5860398,,,5,2
Balaji Glass & Aluminium Works,"Indapur Rd, motibag, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1455802,74.5927174,098812 66265,http://www.balaliglass.in/,4.6,16
BALAJI TRADERS,"Shop No 5, Ambika Nagar, Pushpak Apartment, Baramati, Maharashtra 413102, India",Baramati,Food Processing,Manufacturer,18.1578932,74.5885822,077208 86360,,5,3
Baramati Agro Chiken Limited,"Shop No 5, MIDC, Moshi, Pune, Pimpri-Chinchwad, Maharashtra 411062, India",Baramati,Food Processing,Manufacturer,18.6822342,73.8343383,093255 32715,,4,1
Baramati Agro CPP,"5MC6+G2J, Pune, Maharashtra 413133, India",Baramati,Food Processing,Manufacturer,18.1713466,74.660024,,,4.6,39
Baramati Agro Equipments,"5H7R+RGJ, Sahyog Society, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1645769,74.5912681,098507 08919,,4.3,34
Baramati Agro Ltd,"4JM8+73M, Pimpali Road, Baramati Tehsil, Pimpali, Maharashtra 413102, India",Baramati,Food Processing,Manufacturer,18.1332176,74.6152294,02112 663 100,http://www.baramatiagro.com/,4.2,745
Baramati Agro Ltd Cosmetic Division,"G-382, Dist:, Baramati Midc, Maharashtra Industrial Development Corporation Area, Tal:, Baramati, Katphal, Maharashtra 413133, India",Baramati,Pharmaceutical Manufacturing,Manufacturer,18.2288929,74.6060948,095072 20722,,4.4,9
Baramati Agro Ltd Sugar Factory,"Bhigwan, Maharashtra 413130, India",Baramati,Food Processing,Manufacturer,18.2707459,74.6705853,020 6748 2800,https://www.baramatiagro.com/baramati-agro-sugar,4.6,55
Baramati Automobiles,"Shivaji Chowk, Near, Phaltan - Baramati Rd, near Shivaji Chowk, Samarth Nagar, Baramati, Pahunewadi, Maharashtra 413102, India",Baramati,Automobile Manufacturing,Manufacturer,18.1114785,74.5357182,,,,
Baramati Automotive,"4HV9+7RC, Baramati - Nira Rd, Sathe Nagar, Kasba, Baramati, Maharashtra 413102, India",Baramati,Automobile Manufacturing,Manufacturer,18.1431775,74.5695309,,,5,1
Baramati Car Decor,"Vitthal Vihar, RUI Pati, Road, Baramati Midc, Bhigvan, Baramati, Maharashtra 413133, India",Baramati,Automobile Manufacturing,Manufacturer,18.1831812,74.6112202,099214 31616,,5,5
Baramati Cattlefeeds Pvt Ltd Baramati,"near by Piaggio vehicle company, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Automobile Manufacturing,Manufacturer,18.2070817,74.6076624,,http://hindustanfeeds.com/,4.3,30
BARAMATI CHICKEN SHWARAMA,"vidya cornar complax, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Food Processing,Manufacturer,18.1785417,74.6082608,,,4,21
Baramati Electricals Engineers And Hardware,"Gat No.6, Vanjarwadi, Baramati-Bhigwan Rd, Maharashtra Industrial Development Corporation Area, Shiva Nagar, Baramati, Sawal, Maharashtra 413133, India",Baramati,Electronics Manufacturing,Manufacturer,18.2019347,74.626328,,,4.3,20
Baramati Engineering Pvt. Ltd,"5H7W+WFX, Bhigwan Rd, Shiva Nagar, Baramati, Maharashtra 413102, India",Baramati,Mechanical Engineering,Manufacturer,18.164864,74.5962344,,,5,6
Baramati Food & Beverages,"E 128, Industrial, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Pharmaceutical Manufacturing,Manufacturer,18.2079568,74.6127605,096651 90111,http://baramatifoods.com/,4.5,22
Baramati Foods Private Limited,"G-Block Plot No - G 46, Maharashtra Industrial Development Corporation Area, Baramati, Gojubavi, Maharashtra 413133, India",Baramati,IT Services,Manufacturer,18.232281,74.5989989,,,4,2
Baramati Hitech Textile Park Ltd,"5JX8+H7J, Shatrunjay Cinema Road, Taluka, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.1989607,74.6156514,02112 244 712,http://www.bhtpl.com/,4.4,93
"Baramati Industrial Services Private Limited,","D-16, Baramati Midc, Baramati, Maharashtra 413133, India",Baramati,Automobile Manufacturing,Manufacturer,18.1794381,74.6051245,090110 51183,http://baramatiinds.com/,,
BARAMATI METALLURGICAL PVT. LTD,"E-47, opposite Bharat Forge Material Gate, Baramati Midc, Baramati, Maharashtra 413133, India",Baramati,IT Services,Manufacturer,18.1794381,74.6051245,091759 99012,https://baramatimetallurgical.com/,1,1
Baramati Plastic and Enterprises,"Jalochi, Pimpali Rd, near CNG Pump, Baramati, Maharashtra 413102, India",Baramati,Plastic Manufacturing,Manufacturer,18.1425717,74.6151833,083297 43402,,5,1
BARAMATI PROCESS AUTOMATION-BAPA,"5JJ8+FMH, Rui Rd, Vidya Nagari, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.1811375,74.6167289,,,5,2
Baramati Scale Company,"shop.no.F32, Sanskrit Kendra Shopping Center, near by Dr.Babasaheb Ambedkar Stadium, Samarth Nagar, Baramati, Maharashtra 413102, India",Baramati,Electronics Manufacturing,Manufacturer,18.1482527,74.5755476,099754 52996,,5,2
Baramati textile market.,"5H5P+V7M, Vasant Nagar, Pushpak Apartment, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1597011,74.5856793,,,3.2,13
BARAMATI TRACTORS(????????? ?????????? ????? ?????),"Bhigwan Rd, behind yamaha showroom, Shiva Nagar, Baramati, Maharashtra 413102, India",Baramati,Automobile Manufacturing,Manufacturer,18.1642107,74.5882283,098228 71429,,3.9,7
BARRY CALLEBAUT COCOA & CHOCOLATE INGREDIENTS INDIA PRIVATE LIMITED,"Plot No.- G, 197, Maharashtra Industrial Development Corporation Area, Baramati, Gojubavi, Maharashtra 413133, India",Baramati,Food Processing,Manufacturer,18.2317074,74.6028627,022 4047 6606,https://www.barry-callebaut.com/en-IN,4.4,133
Bauli India Bakes & Sweets Pvt Ltd - Factory,"G-146/1, Katphal Road, MIDC, Baramati, Maharashtra 413133, India",Baramati,Food Processing,Manufacturer,18.234956,74.604894,1800 123 0481,http://www.bauli.in/,4,67
Bhagat Ss Industries,"midc, Plot No.A-12, Baramati Midc, Baramati, Maharashtra 413133, India",Baramati,IT Services,Manufacturer,18.1794381,74.6051245,,,,
BHAGWAN PACKAGING INDUSTRY,"Unnamed Road, Maharashtra Industrial Development Corporation Area, Katphal, Gojubavi, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.2339206,74.6037347,,,3.8,5
Bhagyashree Electronics & Electricals,"4HXF+QJX Bhagyashree Electronics & Electricals, Station Rd, Shubash Chawk, Baramati Rural, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1494979,74.5741146,,,,
BHAIRAVNATH CHEMICALS,"Gat No. 166, Patas Baramati Rd, Hinganigada, Daund, Pune, Maharashtra 412219, India",Baramati,Chemical Processing,Manufacturer,18.3593745,74.4824547,099608 67424,http://www.bhairavnathchemicals.com/,,
Bharat Forge Limited,"Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Automobile Manufacturing,Manufacturer,18.2001108,74.6067961,,http://www.bharatforge.com/,3.9,98
Bharat Ice Factory,"Industrial Estate, Plot A2/1, Bhigwan Rd, Kanchannagar, Shiva Nagar, Baramati, Maharashtra 413102, India",Baramati,Electronics Manufacturing,Manufacturer,18.1666275,74.5960557,094225 13568,https://m.facebook.com/Bharaticefactory/,3,2
Bharati Infotech,"Kalyani Corner, Plot No R-148 Annapurna Niwas Kalyani Corner, near New RTO Office, Aadarsh Nagar, Baramati, Maharashtra 413133, India",Baramati,Electronics Manufacturing,Manufacturer,18.1836632,74.5983361,086000 86022,,4.7,88
Bhigwan road ruipati,"5JP6+3C9, Rui Rd, Ghadgewasti, Vidya Nagari, Baramati, Maharashtra 413133, India",Baramati,Logistics & Warehousing,Manufacturer,18.1851663,74.611094,095798 11714,,,
Bhushan Dhavan Developers,"Pragatinagar, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1677552,74.5860995,,http://bhushandhavandevelopers.com/,4.9,41
Bit Electronic System,"Chandra Vijay Housing society, B-1, TC College Rd, Avaduth Nagar, Baramati, Maharashtra 413102, India",Baramati,Electronics Manufacturing,Manufacturer,18.1565206,74.5742932,097678 90560,http://www.projectpoint.co.in/,4.5,13
Bitworld solution,"3, second floor, vidya corner, chouk, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,IT Services,Manufacturer,18.2032766,74.6074911,077090 97781,,5,2
BK Traders & Company,"C-31, near bharat forge, Baramati Midc, Baramati, Maharashtra 413133, India",Baramati,Mechanical Engineering,Manufacturer,18.1958464,74.6067357,094223 11993,http://bktraders.co.in/,4.2,33
Borana Distributors,"Shakti Plaza Complex, Ram Galli, Baramati, Maharashtra 413102, India",Baramati,Logistics & Warehousing,Manufacturer,18.1474601,74.5734492,02112 221 821,,4.7,9
Briliancy Electrical services,"Suryanagari, Harsh Icon, opposite Mota Nagar, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.1751806,74.6060604,,,,
Burhani Machinery Stores,"Cinema Road, near Mota collection, Baramati, Maharashtra 413102, India",Baramati,Food Processing,Manufacturer,18.1484463,74.5746649,02112 225 796,,4.1,23
Burhani Packaging.,"G-357, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.2280327,74.606543,098239 71552,,,
Capovitez Pvt Ltd,"Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,IT Services,Manufacturer,18.1966957,74.6073764,,,4.4,27
Car Computerized Service,"Jejuri - Morgaon - Baramati Rd, near Royal Enfield Showroom, Jamdar Nagar, Kasba, Baramati, Maharashtra 413102, India",Baramati,Automobile Manufacturing,Manufacturer,18.1458516,74.5671806,099704 25824,,5,1
CARE CHEM ENTERPRISES,"SHOP NO. 03, NEW, Tandulwadi Rd, Beldar Patil Mala, Tandulwadi, Baramati, Maharashtra 413102, India",Baramati,Chemical Processing,Manufacturer,18.1728248,74.5840895,096891 71577,,4.5,2
Carlo Fashions - Men's Wear,"Unnamed Road, Bayaji Nagar, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.1842736,74.6032365,072630 72222,,4.9,12
Carver Aircraft Maintenance Engineering College,"Airport, Baramati, Gojubavi, Maharashtra 413133, India",Baramati,Mechanical Engineering,Manufacturer,18.2237816,74.593948,088558 87088,https://www.carverame.in/,4.9,50
Chaitanya Electrical,"Shop. No 1, Near, Sai Nagar, Baramati Midc, Maharashtra Industrial Development Corporation Area, Viman Nagar, Pune, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.2040987,74.6078344,098817 71188,,,
Chaitanya Industries - Top Cattle Feed Plant & Poultry Feed Plant Manufacturer,"E 198, Dist, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Mechanical Engineering,Manufacturer,18.2052353,74.6100237,098227 56024,,4.1,11
Chalo Phir Tours And Travels,"5HPW+CC, Tandulwadi, Baramati, Maharashtra 413133, India",Baramati,Logistics & Warehousing,Manufacturer,18.1860302,74.5960086,081085 23699,,5,1
Chandan Distributors,"Nevse Rd, Baramati, Maharashtra 413102, India",Baramati,Pharmaceutical Manufacturing,Manufacturer,18.1505057,74.5738428,091585 88188,,3.6,5
Chandgude Electrical,"Burud Galli, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1522861,74.5710862,099702 05819,,,
Chandrakala Tradition - Fashion Jewelry & Premium Purses,"Subhadra Mall, opposite Reliance Smart Chandrakala, Baramati Midc, Baramati, Maharashtra 413133, India",Baramati,General Manufacturing,Manufacturer,18.1782078,74.6061035,093226 80323,https://chandrakala-tradition.mini.store/,5,40
Chankeshwara Automotive,"E177 & E178, behind Piaggio Vehicles Pvt. Ltd, Maharashtra Industrial Development Corporation Area, Baramati, Maharashtra 413133, India",Baramati,Automobile Manufacturing,Manufacturer,18.2101231,74.6116138,089560 68105,,4.1,7
Chetan Electronics And Electrical,"Burud Galli, Irrigation colony, Malegoan, Baramati, Maharashtra 413102, India",Baramati,Electronics Manufacturing,Manufacturer,18.149912,74.573932,098341 97619,,4.7,39
Chettinad Cement Godown,"3, Ring Rd, Pushpak Apartment, Baramati, Maharashtra 413102, India",Baramati,Logistics & Warehousing,Manufacturer,18.159037,74.5873291,,,5,1
CHHAJED GARMENTS,"Gandhi Chowk, Near, Station Rd, opp. J. B Saraf, Baramati, Maharashtra 413102, India",Baramati,General Manufacturing,Manufacturer,18.1488335,74.5723624,02112 224 540,,4.4,23
ChillaX Chaat,"Balaji Square, Bhigwan, Baramati Road, near Balaji Square, MIDC, Baramati, Maharashtra 413133, India",Baramati,Food Processing,Manufacturer,18.1816405,74.6091588,096655 33833,,4.9,8
Chinmay industries G 380 midc baramati,"G 380, near piaggio vespa, Maharashtra Industrial Development Corporation Area, Baramati, Katphal, Maharashtra 413133, India",Baramati,Automobile Manufacturing,Manufacturer,18.228824,74.605582,,,3.9,7
